"rowname","Chisq.x","Df.x","Pr(>Chisq).x","Chisq.y","Df.y","Pr(>Chisq).y","Chisq.x.x","Df.x.x","Pr(>Chisq).x.x","Chisq.y.y","Df.y.y","Pr(>Chisq).y.y"
"day",2.9001,1,0.0886,0.6024,1,0.4377,2.8863,1,0.0893,0.4393,1,0.5075
"loc",10.9268,1,9e-04,8.7065,1,0.0032,12.0573,1,5e-04,0.0101,1,0.92
"pressure",5.4301,1,0.0198,0.1357,1,0.7126,1.7045,1,0.1917,31.4047,1,0
"wind",5.9901,1,0.0144,0.5152,1,0.4729,3.4866,1,0.0619,43.261,1,0
"cloudiness",2.5632,1,0.1094,1.1349,1,0.2867,NA,NA,NA,21.3817,1,0
"loc:pressure",2.866,1,0.0905,4.5227,1,0.0334,4.7541,1,0.0292,7.0502,1,0.0079
"temp",NA,NA,NA,0.0284,1,0.8662,0.4449,1,0.5048,0.5187,1,0.4714
"loc:temp",NA,NA,NA,9.1132,1,0.0025,2.9385,1,0.0865,2.826,1,0.0927
"loc:wind",NA,NA,NA,5.0881,1,0.0241,NA,NA,NA,NA,NA,NA
"loc:cloudiness",NA,NA,NA,4.2088,1,0.0402,NA,NA,NA,NA,NA,NA
"day:loc",NA,NA,NA,3.5695,1,0.0588,NA,NA,NA,3.1399,1,0.0764
"day:wind",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6314,1,0.0314
"day:pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4025,1,0.0651
"day:cloudiness",NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6135,1,0
