Typ	Lokalita	Latitude	Longitude		
highway	1D8H1	50.319263	"14.309831"		
highway	1D8H2	50.321615	14.306871		
highway	1D8H3	50.323164	14.304377		
highway	1D8H4	50.325708	14.29966		
agricultural	1D8T1	50.365714	14.326603		
agricultural	1D8T2	50.363196	14.327711		
agricultural	1D8T3	50.371004	14.327856		
agricultural	1D8T5	50.369981	14.317358		
highway	2D7H1	50.196307	14.161753		
highway	2D7H2	50.194926	14.168582		
highway	2D7H3	50.193513	14.172528		
highway	2D7H4	50.192617	14.175294		
highway	2D7H5	50.190659	14.178875		
agricultural	2D7T1	50.226157	14.239777		
agricultural	2D7T2	50.225539	14.244047		
agricultural	2D7T3	50.22337	14.245056		
agricultural	2D7T4	50.221649	14.240271		
agricultural	2D7T5	50.220498	14.235676		
agricultural	2D7T5	50.221649	14.240271		
highway	3D8H1	50.23139	14.397945		
highway	3D8H2	50.2338	14.394893		
highway	3D8H3	50.236813	14.389917		
agricultural	3D8T1	50.290083	14.437791		
agricultural	3D8T2	50.253419	14.429278		
agricultural	3D8T3	50.252656	14.421037		
highway	4D7H1	50.134887	14.250102		
highway	4D7H2	50.138922	14.240742		
agricultural	4D7T1	50.150233	14.258182		
agricultural	4D7T2	50.148636	14.263415		
agricultural	4D7T3	50.147626	14.268062		
highway	5D6H1	50.099818	14.171925		
highway	5D6H2	50.099335	14.17799		
highway	5D6H3	50.098739	14.181954		
agricultural	5D6T1	50.070928	14.141498		
agricultural	5D6T2	50.070708	14.136753		
agricultural	5D6T3	50.069769	14.130505		
highway	6D6H1	50.102239	14.132552		
highway	6D6H2	50.117546	14.062388		
agricultural	6D6T1	50.114646	14.059805		
agricultural	6D6T2	50.117546	14.062388		
agricultural	6D6T3	50.119499	14.062336		
